co2,ch4,hfc,n2o,nf3,pfc,sf6,year
0.1479672102443692,0.31258011314037887,-0.6627674348532485,0.41760614967875437,-0.8984511598811094,4.569354962679822,1.8514304924179468,2015
0.12461994024521393,0.27412436554319614,-0.6729654345624673,0.3678476908198531,-0.8957528359623366,4.281910301423822,1.90409888760685,2014
0.08874910843862609,0.22979168427937552,-0.662889005499146,0.3165076543560667,-0.8927790709605753,3.633087043974989,1.9105949604121264,2013
0.07448411774219683,0.19290242884097417,-0.6712370195112313,0.2875870992604227,-0.8714308068245097,3.6006366248771076,1.9370779659016304,2012
0.0638657367294373,0.1597717308993817,-0.6405973674497076,0.2646469851245814,-0.8360925090720678,3.462254796712823,1.9574842077715533,2011
0.07030921705497947,0.14353528054242057,-0.5725230516449807,0.2774104875970929,-0.6171122086530247,3.576744754708103,2.0466366164646046,2010
0.09146735440039358,0.13156381502922293,-0.5298501530215731,0.28851998679329033,-0.625634575938186,3.5185953264184255,2.0581381040148186,2009
0.082493122342949,0.11243513338398196,-0.46559107122080234,0.2677632382157855,-0.6261549693855492,3.3083704863028442,1.7773442797225412,2008
0.08042167199238316,0.0901252348836431,-0.4103622329532144,0.23789781964579548,-0.6337776595862356,3.0022252883830887,1.5767936651816832,2007
0.08086186846318995,0.07648016650646318,-0.4472895748999992,0.15973167325803583,-0.5353058525948459,2.6973120357463642,1.2184889669556116,2006
0.09645986092595603,0.06939090552069066,-0.4245102057969616,0.1551614773606428,-0.44897468605420193,2.39575991623032,1.0353703556248555,2005
0.10073078665326032,0.06945716645648216,-0.4443728230075071,0.14171682018148382,-0.4570874042585181,1.7395887608546554,0.8701508935472217,2004
0.10254461942594047,0.0601389691316565,-0.4309936153661586,0.11931205080528506,-0.056525058003048884,1.8583623051492122,0.7224946295744525,2003
0.12187316820122553,0.06911795842687113,-0.426192522736823,0.11657397039941926,-0.02106957966343325,1.46809103819732,0.6433948483829632,2002
0.13186930202124802,0.06812785564311068,-0.38568691715897524,0.15007264438330678,0.02405615227444524,1.268737330699142,0.5803992374474196,2001
0.1335334676774423,0.0658102498368869,-0.3471193872220984,0.11080119367897641,0.7955473228966256,1.0995194222258569,0.4978098475200536,2000
0.13429602859292242,0.06330871408367944,-0.3170473823874585,0.10072185133184475,0.876834495326539,0.9019094246978766,0.4202472675149237,1999
0.13935993049529413,0.06199889896184654,-0.260326432534095,0.10643761974142775,0.9559444588734218,0.8283771450425983,0.2863973083637211,1998
0.1117279816779876,0.05364014140628477,-0.21047867653483923,0.07275239602978566,0.864864244217435,0.5527268647195318,0.18055640968288073,1997
0.031172644124828643,0.030805375104657855,-0.20481246811102988,0.0405082537352,0.5602776227049279,0.05407482379912605,0.04351591950127512,1996
0.06716657217187623,0.033700370989963466,-0.13672739991683128,0.03487119325634147,0.8422483996024464,0.12167669498986543,0.0727915297405772,1995
0.05093530680434853,0.026929304798431197,-0.11067641066354879,0.02393701082047851,1.161331779970634,0.21640031662814574,0.07698253568613753,1994
0.035546691755769945,0.023896768881686424,-0.06967653324099847,0.001129481230570004,0.8550132433039686,0.10445627584123696,0.18396018159956945,1993
0.030835645535905468,0.012325400171776364,-0.03752908008755463,-0.0013088390818597555,0.847259725122667,0.09475780897839817,0.14433074027798914,1992
0.008550534823649444,0.006497716958094728,0.005924558148487539,0.0019115787539342613,0.4202288123013959,0.014569332948004776,-0.00995558021813778,1991
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
